_RAJ2000,_DEJ2000,WR,Name,Aname,RAJ2000,DEJ2000,r_Pos,r_FC,recno
165.003,-57.8165278,33,,GSC 8623-0928,11 00 00.72,-57 48 59.50,GSC,VI,42
165.0268333,-61.4416389,34,LS 5,,11 00 06.44,-61 26 29.90,Wi99,VI,43
165.0920833,-61.2308333,35,MS 6,,11 00 22.10,-61 13 51.00,VIp,VI,44
165.1020833,-59.9933333,35a,SMSP 5,,11 00 24.50,-59 59 36.00,SM91,SM91,45
165.2595833,-60.2336111,35b,SMSP 6,,11 01 02.30,-60 14 01.00,SM91,SM91,46
165.6369583,-59.4393056,36,LS 6,GSC 8627-1968,11 02 32.87,-59 26 21.50,GSC,VI,47
166.308,-61.3448333,37,MS 7,,11 05 13.92,-61 20 41.40,Wi99,VI,48
166.4438333,-61.2303056,38,MS 8,,11 05 46.52,-61 13 49.10,Wi99,"VI,Tu99",49
166.4541667,-61.2280556,38a,SMSP 7,,11 05 49.00,-61 13 41.00,SM91,"SM91,Tu99",50
166.5779167,-61.2369444,38b,SMSP 8,,11 06 18.70,-61 14 13.00,SM91,"SM91,Tu99",51
166.5779167,-61.2384167,39,MS 9,,11 06 18.70,-61 14 18.30,Wi99,"VI,Tu99",52
166.5717083,-65.5097778,40,,HIP 54283,11 06 17.21,-65 30 35.20,Hip,VI,53
166.9752083,-61.4613889,41,LS 7,,11 07 54.05,-61 27 41.00,Wi99,VI,54
167.5170417,-60.9791667,42,,HIP 54574,11 10 04.09,-60 58 45.00,Hip,VI,55
168.06625,-61.0844444,42a,SMSP 9,,11 12 15.90,-61 05 04.00,SM91,SM91,56
168.2658333,-62.2383333,42b,SMSP 10,,11 13 03.80,-62 14 18.00,SM91,SM91,57
168.5066667,-61.0630556,42c,SMSP 11,,11 14 01.60,-61 03 47.00,SM91,SM91,58
168.6616667,-61.1877778,42d,SMSP 12,,11 14 38.80,-61 11 16.00,SM91,SM91,59
168.781125,-61.2606,43a,,,11 15 07.47,-61 15 38.16,DM95,DM95,60
168.7815833,-61.2606444,43b,,,11 15 07.58,-61 15 38.32,DM95,DM95,61
168.7823333,-61.2604861,43c,,,11 15 07.76,-61 15 37.75,DM95,DM95,62
169.2410833,-59.44,44,,,11 16 57.86,-59 26 24.00,Wi99,VI,63
169.68125,-61.4436111,44a,SMSP 13,,11 18 43.50,-61 26 37.00,SM91,SM91,64
174.5216667,-62.2669444,45,,,11 38 05.20,-62 16 01.00,VIp,VI,65
176.5759167,-61.4114167,45a,SMSNPL 1,,11 46 18.22,-61 24 41.10,SM99,SM99,66
177.1924167,-62.3843056,45b,SMSNPL 2,,11 48 46.18,-62 23 03.50,SM99,SM99,67
179.019875,-62.7348056,45c,SMSNPL 3,,11 56 04.77,-62 44 05.30,SM99,SM99,68
181.3280417,-62.0528056,46,,HIP 58954,12 05 18.73,-62 03 10.10,Hip,"VI,VG01",69
183.2595417,-63.7071944,46a,SMSNPL 4,,12 13 02.29,-63 42 25.90,SM99,SM99,70
190.9625417,-63.0874444,47,,HIP 62115,12 43 51.01,-63 05 14.80,Hip,VI,71
191.463625,-64.1605,47a,SMSNPL 5,,12 45 51.27,-64 09 37.80,SM99,"DR90,SM99",72
192.0317917,-63.6445,47b,SMSNPL 6,,12 48 07.63,-63 38 40.20,SM99,SM99,73
193.2319583,-63.7775278,47c,SMSNPL 7,,12 52 55.67,-63 46 39.10,SM99,SM99,74
197.0298333,-65.3060278,48,theta Mus,HIP 64094,13 08 07.16,-65 18 21.70,Hip,VI,75
197.864375,-63.7668889,48b,SMSNPL 8,,13 11 27.45,-63 46 00.80,SM99,SM99,76
198.1652083,-62.7155,48a,Danks 1,,13 12 39.65,-62 42 55.80,Wi98,DD83,77
198.2175417,-63.3962222,48c,SMSNPL 9,,13 12 52.21,-63 23 46.40,SM99,SM99,78
198.463875,-65.3024444,49,Th17-22,GSC 8998-0104,13 13 51.33,-65 18 08.80,GSC,VI,79
199.5044583,-62.4345833,50,,GSC 8994-2101,13 18 01.07,-62 26 04.50,GSC,"VI,Tu85",80
199.595,-62.4725,51,Th17-85,,13 18 22.80,-62 28 21.00,VIp,"VI,Tu85",81
199.6166667,-58.1371111,52,,HIP 64929,13 18 28.00,-58 08 13.60,Hip,VI,82
202.7219167,-62.0810556,53,,HIP 65925,13 30 53.26,-62 04 51.80,Hip,VI,83
203.1824583,-65.0244167,54,Th17-89,GSC 8999-3295,13 32 43.79,-65 01 27.90,GSC,VI,84
203.3755417,-62.317,55,,HIP 66142,13 33 30.13,-62 19 01.20,Hip,VI,85
203.4390417,-64.1254167,56,LS 8,GSC 8999-1206,13 33 45.37,-64 07 31.50,GSC,VI,86
205.3094583,-60.8979167,56a,SMSNPL 10,,13 41 14.27,-60 53 52.50,SM99,SM99,87
205.8182083,-67.4013611,57,,HIP 66948,13 43 16.37,-67 24 04.90,Hip,VI,88
207.2688333,-65.6988889,58,,GSC 9016-1189,13 49 04.52,-65 41 56.00,GSC,VI,89
207.3860833,-61.5283889,59,,GSC 9004-3553,13 49 32.66,-61 31 42.20,GSC,VI,90
208.9504167,-61.1638889,60,,,13 55 48.10,-61 09 50.00,VIp,VI,91
213.2647083,-65.4479722,61,,HIP 69445,14 13 03.53,-65 26 52.70,Hip,VI,92
217.7754167,-61.3495278,62,NS 2,,14 31 06.10,-61 20 58.30,L2,VI,93
218.1590833,-61.4987222,62a,SMSNPL 11,,14 32 38.18,-61 29 55.40,SM99,SM99,94
221.670875,-61.1156944,62b,SMSNPL 12,,14 46 41.01,-61 06 56.50,SM99,SM99,95
222.7429583,-59.8574167,63,,GSC 8692-0361,14 50 58.31,-59 51 26.70,GSC,VI,96
